Company Name,Sectors,Market Cap,Ticker,Description,Formatted Description
PRIMO BRANDS,Beverages,12472895393.0,PRMB,"Primo Brands Corporation is a beverage company with a focus on healthy hydration, delivering responsibly and domestically sourced diversified offerings across products, formats, channels, price points, and consumer occasions, distributed in every state and Canada. It has a portfolio of packaged branded beverages distributed across more than 200,000 retail outlets, including brands Poland Spring and Pure Life, premium brands like Saratoga and Mountain Valley, regional brands, such as Arrowhead, Deer Park, Ice Mountain, Ozarka, and Zephyrhills, purified brands including Primo Water and Sparkletts, and flavored and enhanced brands like AC+ION and Splash Refresher. These brands are sold directly across retail channels, including mass food, convenience, natural, drug, wholesale, distributor and home improvement, as well as food service accounts in North America. Its products consist of spring and sparkling water, purified water, self-service refill drinking water, and water dispensers.","#### 📌 **PRIMO BRANDS**
- Primo Brands Corporation is a beverage company with a focus on healthy hydration, delivering responsibly and domestically sourced diversified offerings across products, formats, channels, price points, and consumer occasions, distributed in every state and Canada
- It has a portfolio of packaged branded beverages distributed across more than 200,000 retail outlets, including brands Poland Spring and Pure Life, premium brands like Saratoga and Mountain Valley, regional brands, such as Arrowhead, Deer Park, Ice Mountain, Ozarka, and Zephyrhills, purified brands including Primo Water and Sparkletts, and flavored and enhanced brands like AC+ION and Splash Refresher
- These brands are sold directly across retail channels, including mass food, convenience, natural, drug, wholesale, distributor and home improvement, as well as food service accounts in North America
- Its products consist of spring and sparkling water, purified water, self-service refill drinking water, and water dispensers"
SPORTRADAR GROUP,Software & IT Services,6210798326.0,SRAD,"Sportradar Group AG is a Switzeland-based technology platform provider. The Company offers platform which enables engagement in sports, and the number one provider of business-to-business (B2B) solutions to the global sports betting industry. It offers integrated sports data and technology platforms whixh simplify its customers operations, drive efficiencies and improve fan experiences. The Companys software solutions address the sports betting value chain from traffic generation and advertising technology, to the collection, processing and extrapolation of data and odds, to visualization solutions, risk management and platform services.","#### 📌 **SPORTRADAR GROUP**
- Sportradar Group AG is a Switzeland-based technology platform provider
- The Company offers platform which enables engagement in sports, and the number one provider of business-to-business (B2B) solutions to the global sports betting industry
- It offers integrated sports data and technology platforms whixh simplify its customers operations, drive efficiencies and improve fan experiences
- The Companys software solutions address the sports betting value chain from traffic generation and advertising technology, to the collection, processing and extrapolation of data and odds, to visualization solutions, risk management and platform services"
T-MOBILE US,Telecommunications Services,281211793500.0,TMUS,"T-Mobile US, Inc. is a provider of wireless communications services, including voice, messaging and data, under its flagship brands, T-Mobile and Metro by T-Mobile, and Mint Mobile, in the United States, Puerto Rico and the United States Virgin Islands. It provides wireless communications services primarily using its 4G Long Term Evolution network and its 5G technology network. It also offers a selection of wireless devices, including handsets, tablets and other mobile communication devices, and accessories for sale, as well as financing through equipment installment plans. Its primary service plan offering is Go5G Plus, which includes unlimited talk, text and data on its network, 5G access at no extra cost, scam protection features and more. In addition to its wireless communications services, the Company also offers high speed Internet, which includes a fixed wireless product that utilizes the excess capacity of its nationwide 5G network. It also provides advertising solutions.","#### 📌 **T-MOBILE US**
- T-Mobile US, Inc
- is a provider of wireless communications services, including voice, messaging and data, under its flagship brands, T-Mobile and Metro by T-Mobile, and Mint Mobile, in the United States, Puerto Rico and the United States Virgin Islands
- It provides wireless communications services primarily using its 4G Long Term Evolution network and its 5G technology network
- It also offers a selection of wireless devices, including handsets, tablets and other mobile communication devices, and accessories for sale, as well as financing through equipment installment plans
- Its primary service plan offering is Go5G Plus, which includes unlimited talk, text and data on its network, 5G access at no extra cost, scam protection features and more
- In addition to its wireless communications services, the Company also offers high speed Internet, which includes a fixed wireless product that utilizes the excess capacity of its nationwide 5G network
- It also provides advertising solutions"
TELESAT,Telecommunications Services,855977712.0,TSAT,"Telesat Corporation is a Canada-based global satellite operators. The Company provides mission-critical communications solutions support the requirements of sophisticated satellite users throughout the world. The Company operates through two segments: geostationary (GEO), and Low Earth Orbit (LEO). The Company has developed a global network composed of 198 state-of-the-art LEO satellites, seamlessly integrated with on-ground data networks. The Companys global GEO satellite fleet provides coverage and connectivity solutions in C-, Ku- and Ka-bands to meet the needs of broadcast, corporate, telecom and government customers around the world. It provides its services through three business categories: Broadcast, Enterprise and Consulting and other. The Companys connectivity solutions include data and telecom, mobility, government, video, consulting. Its data and telecom solutions offer Internet backhaul, wireless backhaul, and corporate network.","#### 📌 **TELESAT**
- Telesat Corporation is a Canada-based global satellite operators
- The Company provides mission-critical communications solutions support the requirements of sophisticated satellite users throughout the world
- The Company operates through two segments: geostationary (GEO), and Low Earth Orbit (LEO)
- The Company has developed a global network composed of 198 state-of-the-art LEO satellites, seamlessly integrated with on-ground data networks
- The Companys global GEO satellite fleet provides coverage and connectivity solutions in C-, Ku- and Ka-bands to meet the needs of broadcast, corporate, telecom and government customers around the world
- It provides its services through three business categories: Broadcast, Enterprise and Consulting and other
- The Companys connectivity solutions include data and telecom, mobility, government, video, consulting
- Its data and telecom solutions offer Internet backhaul, wireless backhaul, and corporate network"
VENTAS,Residential & Commercial REIT,27723778652.0,VTR,"Ventas, Inc. is a real estate investment trust (REIT). The Companys portfolio includes senior housing communities, which provide valuable services to residents. The Company leverages its operational expertise and data-driven insights from its Ventas Operational Insights platform. The Company has approximately 1,351 properties in North America and the United Kingdom. Its portfolio also includes outpatient medical buildings, research centers and healthcare facilities. The Company, through its Senior Housing Operating Portfolio segment, invests in senior housing communities. Through its Outpatient Medical and Research Portfolio segment, it primarily acquires, owns, develops, leases, and manages outpatient medical buildings and research centers. Through its Triple-Net Leased Properties segment, it invests in and owns senior housing communities, skilled nursing facilities, long-term acute care facilities, freestanding inpatient rehabilitation facilities and other healthcare facilities.","#### 📌 **VENTAS**
- Ventas, Inc
- is a real estate investment trust (REIT)
- The Companys portfolio includes senior housing communities, which provide valuable services to residents
- The Company leverages its operational expertise and data-driven insights from its Ventas Operational Insights platform
- The Company has approximately 1,351 properties in North America and the United Kingdom
- Its portfolio also includes outpatient medical buildings, research centers and healthcare facilities
- The Company, through its Senior Housing Operating Portfolio segment, invests in senior housing communities
- Through its Outpatient Medical and Research Portfolio segment, it primarily acquires, owns, develops, leases, and manages outpatient medical buildings and research centers
- Through its Triple-Net Leased Properties segment, it invests in and owns senior housing communities, skilled nursing facilities, long-term acute care facilities, freestanding inpatient rehabilitation facilities and other healthcare facilities"
VILLAGE SUPER MARKET,Food & Drug Retailing,520856976.0,VLGEA,"Village Super Market, Inc. operates a chain of around 34 supermarkets under the ShopRite and Fairway names in New Jersey, Maryland, New York and eastern Pennsylvania and three specialty markets under the Gourmet Garage name in New York City. It offers a range of national branded and locally sourced food products, including grocery, meat, produce, dairy, deli, seafood, prepared foods, bakery and frozen foods as well as non-food product offerings, including health and beauty care, general merchandise, liquor and 21 in-store pharmacies. Its Fairway Markets offerings are paired with a variety of natural, organic, specialty and gourmet products. Its Gourmet Garage specialty markets offer organic produce, signature soups and prepared foods, meat and seafood, charcuterie and gourmet cheeses, artisan baked bread and pastries, chef-prepared meals to go and pantry staples. Its ShopRite Order Express app enables customers to pre-order deli, catering, specialty occasion cakes and other items.","#### 📌 **VILLAGE SUPER MARKET**
- Village Super Market, Inc
- operates a chain of around 34 supermarkets under the ShopRite and Fairway names in New Jersey, Maryland, New York and eastern Pennsylvania and three specialty markets under the Gourmet Garage name in New York City
- It offers a range of national branded and locally sourced food products, including grocery, meat, produce, dairy, deli, seafood, prepared foods, bakery and frozen foods as well as non-food product offerings, including health and beauty care, general merchandise, liquor and 21 in-store pharmacies
- Its Fairway Markets offerings are paired with a variety of natural, organic, specialty and gourmet products
- Its Gourmet Garage specialty markets offer organic produce, signature soups and prepared foods, meat and seafood, charcuterie and gourmet cheeses, artisan baked bread and pastries, chef-prepared meals to go and pantry staples
- Its ShopRite Order Express app enables customers to pre-order deli, catering, specialty occasion cakes and other items"
WELLTOWER,Residential & Commercial REIT,88521929796.0,WELL,"Welltower Inc. is a real estate investment trust, which is focused on health care infrastructure. The Company invests with seniors housing operators, post-acute providers and health systems to fund the real estate infrastructure needed to scale care delivery models and improve people's wellness and overall health care experience. The Company owns interests in properties concentrated in high-growth markets in the United States, Canada and the United Kingdom, consisting of seniors housing and post-acute communities and outpatient medical properties. Its seniors housing operating properties include seniors apartments, assisted living, independent living/continuing care retirement communities, independent supportive living communities (Canada), care homes with and without nursing (United Kingdom) and combinations thereof. The Company's triple-net properties include the property types that are under seniors housing operating properties, as well as long-term/post-acute care facilities.","#### 📌 **WELLTOWER**
- Welltower Inc
- is a real estate investment trust, which is focused on health care infrastructure
- The Company invests with seniors housing operators, post-acute providers and health systems to fund the real estate infrastructure needed to scale care delivery models and improve people's wellness and overall health care experience
- The Company owns interests in properties concentrated in high-growth markets in the United States, Canada and the United Kingdom, consisting of seniors housing and post-acute communities and outpatient medical properties
- Its seniors housing operating properties include seniors apartments, assisted living, independent living/continuing care retirement communities, independent supportive living communities (Canada), care homes with and without nursing (United Kingdom) and combinations thereof
- The Company's triple-net properties include the property types that are under seniors housing operating properties, as well as long-term/post-acute care facilities"
AIRBNB,Software & IT Services,66641730324.0,ABNB,"Airbnb, Inc. operates a global platform for stays and experiences. The Companys marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences around the world. The Company has built its platform to onboard new hosts, especially those who previously had not considered hosting. It partners with hosts throughout the process of setting up their listing and provides them with a suite of tools to manage their listings, including scheduling, merchandising, integrated payments, community support, host protection, pricing guidance, and feedback from reviews. Its Website and mobile applications provide its guests with a way to explore a variety of homes and experiences and an easy way to book them. Its technology platform powers its two-sided marketplace and enables its global network of hosts and guests. It owns a trademark portfolio with protection in 220 countries in which it operates for its primary brands, AIRBNB, and its Belo logo.","#### 📌 **AIRBNB**
- Airbnb, Inc
- operates a global platform for stays and experiences
- The Companys marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences around the world
- The Company has built its platform to onboard new hosts, especially those who previously had not considered hosting
- It partners with hosts throughout the process of setting up their listing and provides them with a suite of tools to manage their listings, including scheduling, merchandising, integrated payments, community support, host protection, pricing guidance, and feedback from reviews
- Its Website and mobile applications provide its guests with a way to explore a variety of homes and experiences and an easy way to book them
- Its technology platform powers its two-sided marketplace and enables its global network of hosts and guests
- It owns a trademark portfolio with protection in 220 countries in which it operates for its primary brands, AIRBNB, and its Belo logo"
ANYWHERE REAL ESTATE,Real Estate Operations,333149994.0,HOUS,"Anywhere Real Estate Inc. is an integrated residential real estate services provider. The Company's businesses include franchise, brokerage, relocation, and title and settlement, as well as minority owned mortgage and title insurance underwriter joint ventures. It operates through three segments: Anywhere Brands, Anywhere Advisors and Anywhere Integrated Services. Anywhere Brands segment franchises a portfolio of franchise brokerage brands, including Better Homes and Gardens Real Estate, Century 21, Coldwell Banker, Coldwell Banker Commercial, Corcoran, ERA and Sotheby's International Realty. This segment also includes its global relocation services operation and lead generation activities. Anywhere Advisors segment operates a full-service real estate brokerage business in many of the metropolitan areas in the United States. Anywhere Integrated Services segment provides full-service title, escrow and settlement services primarily in support of residential real estate transactions.","#### 📌 **ANYWHERE REAL ESTATE**
- Anywhere Real Estate Inc
- is an integrated residential real estate services provider
- The Company's businesses include franchise, brokerage, relocation, and title and settlement, as well as minority owned mortgage and title insurance underwriter joint ventures
- It operates through three segments: Anywhere Brands, Anywhere Advisors and Anywhere Integrated Services
- Anywhere Brands segment franchises a portfolio of franchise brokerage brands, including Better Homes and Gardens Real Estate, Century 21, Coldwell Banker, Coldwell Banker Commercial, Corcoran, ERA and Sotheby's International Realty
- This segment also includes its global relocation services operation and lead generation activities
- Anywhere Advisors segment operates a full-service real estate brokerage business in many of the metropolitan areas in the United States
- Anywhere Integrated Services segment provides full-service title, escrow and settlement services primarily in support of residential real estate transactions"
ARITZIA-SUBORDINATE VOTI,Specialty Retailers,4788056000.0,ATZ,"Aritzia Inc. is a Canada-based vertically integrated design house. The Company is the creator and purveyor of Everyday Luxury, home to a portfolio of brands for every function and individual aesthetic. The Company provides personal shopping experiences at aritzia.com and in its 115+ boutiques throughout North America. The Companys product categories include activewear, blazers and suiting, bodysuits, denim, dresses, intimates and shapewear, jackets and coats, jumpsuits and rompers, leggings and bike shorts, pants and accessories. The Company offers its products under various brands, including Babaton, Denim Forum, Golden, Little Moon, Sunday Best, Ten, The Group by Babaton, Tna, Wilfred, Wilfred Free, Contour, Seamless, Sweatfleece, The Effortless Pant, The Super Puff and others. Its distribution network consists of three distribution centers, two in Canada and one in the United States, that are positioned to service its boutiques and e-commerce business.","#### 📌 **ARITZIA-SUBORDINATE VOTI**
- Aritzia Inc
- is a Canada-based vertically integrated design house
- The Company is the creator and purveyor of Everyday Luxury, home to a portfolio of brands for every function and individual aesthetic
- The Company provides personal shopping experiences at aritzia.com and in its 115+ boutiques throughout North America
- The Companys product categories include activewear, blazers and suiting, bodysuits, denim, dresses, intimates and shapewear, jackets and coats, jumpsuits and rompers, leggings and bike shorts, pants and accessories
- The Company offers its products under various brands, including Babaton, Denim Forum, Golden, Little Moon, Sunday Best, Ten, The Group by Babaton, Tna, Wilfred, Wilfred Free, Contour, Seamless, Sweatfleece, The Effortless Pant, The Super Puff and others
- Its distribution network consists of three distribution centers, two in Canada and one in the United States, that are positioned to service its boutiques and e-commerce business"
BAYERISCHE MOTOREN WERKE,Automobiles & Auto Parts,42575220000.0,BMW,"Bayerische Motoren Werke Aktiengesellschaft is a German based Company. The Company is engaged in manufacturing of automobile and motorcycle. The Companys business is divided into three segment : Automotive segment, Motorcycles segment, Financial Services segment. The Automotive segment has three brands:BMW, MINI and Rolls-Royce. It provides variety of drivetrains from purely electric drives (BEV1) and modern plug-in hybrids (PHEV2) to efficient combustion engines. The product range includes automobiles ranging from the compact class to the luxury class. The Motorcycles segment also offers a range of vehicles in the Sport, Tour, Roadster, Heritage and Adventure categories. Financial Services segment provides credit financing and the leasing of BMW Group brand automobiles and motorcycles to retail customers.","#### 📌 **BAYERISCHE MOTOREN WERKE**
- Bayerische Motoren Werke Aktiengesellschaft is a German based Company
- The Company is engaged in manufacturing of automobile and motorcycle
- The Companys business is divided into three segment : Automotive segment, Motorcycles segment, Financial Services segment
- The Automotive segment has three brands:BMW, MINI and Rolls-Royce
- It provides variety of drivetrains from purely electric drives (BEV1) and modern plug-in hybrids (PHEV2) to efficient combustion engines
- The product range includes automobiles ranging from the compact class to the luxury class
- The Motorcycles segment also offers a range of vehicles in the Sport, Tour, Roadster, Heritage and Adventure categories
- Financial Services segment provides credit financing and the leasing of BMW Group brand automobiles and motorcycles to retail customers"
BLEND LABS,Software & IT Services,828321461.0,BLND,"Blend Labs, Inc. provides a cloud-based software platform and a suite of products for financial providers to transform consumer banking experiences and streamline workflows for their teams. The Company operates through two segments: Blend Platform, and Title. The Blend Platform segment comprises a suite of products that power the entire origination process from back-end workflows to consumer experience. The Blend Platform segment also includes a software platform, called Blend Builder Platform, which offers a set of low-code, drag-and-drop design tools, modular components, and integrations to allow its customers to create and deploy their own new product offerings. The Title segment comprises a suite of title products and services, such as instant title and other title search options, insurance solutions, closing and settlement services, including mobile signing and e-sign capabilities, and various post-closing solutions, such as disbursement and recording handling.","#### 📌 **BLEND LABS**
- Blend Labs, Inc
- provides a cloud-based software platform and a suite of products for financial providers to transform consumer banking experiences and streamline workflows for their teams
- The Company operates through two segments: Blend Platform, and Title
- The Blend Platform segment comprises a suite of products that power the entire origination process from back-end workflows to consumer experience
- The Blend Platform segment also includes a software platform, called Blend Builder Platform, which offers a set of low-code, drag-and-drop design tools, modular components, and integrations to allow its customers to create and deploy their own new product offerings
- The Title segment comprises a suite of title products and services, such as instant title and other title search options, insurance solutions, closing and settlement services, including mobile signing and e-sign capabilities, and various post-closing solutions, such as disbursement and recording handling"
BURBERRY GROUP,Specialty Retailers,2295142000.0,BRBY,"Burberry Group plc is a United Kingdom-based global luxury goods manufacturer, retailer, and wholesaler. The Company also licenses third parties to manufacture and distribute products using the Burberry trademarks. The Company's segments include Retail/wholesale and Licensing. The Retail/wholesale segment is engaged in the sale of luxury goods through Burberry mainline stores, concessions, outlets, and digital commerce, as well as Burberry franchisees, department stores globally and multi-brand specialty accounts. The flow of global product between retail and wholesale channels and across its regions is monitored and optimized at a corporate level and implemented via the Company's inventory hubs situated in Europe, the United States, mainland China, Hong Kong, and Special Administrative Regions (S.A.R.) China. The Companys Licensing segment includes royalties from global licensees of beauty products, eyewear and licenses relating to the use of non-Burberry trademarks in Japan.","#### 📌 **BURBERRY GROUP**
- Burberry Group plc is a United Kingdom-based global luxury goods manufacturer, retailer, and wholesaler
- The Company also licenses third parties to manufacture and distribute products using the Burberry trademarks
- The Company's segments include Retail/wholesale and Licensing
- The Retail/wholesale segment is engaged in the sale of luxury goods through Burberry mainline stores, concessions, outlets, and digital commerce, as well as Burberry franchisees, department stores globally and multi-brand specialty accounts
- The flow of global product between retail and wholesale channels and across its regions is monitored and optimized at a corporate level and implemented via the Company's inventory hubs situated in Europe, the United States, mainland China, Hong Kong, and Special Administrative Regions (S.A.R.) China
- The Companys Licensing segment includes royalties from global licensees of beauty products, eyewear and licenses relating to the use of non-Burberry trademarks in Japan"
CAPRI HOLDINGS,Specialty Retailers,1471514304.0,CPRI,"Capri Holdings Limited is a holding company, which owns brands that are designers, marketers, distributors and retailers of womens and mens accessories, footwear and ready-to-wear bearing the Versace, Jimmy Choo and Michael Kors tradenames and related trademarks and logos. The Company operates in three segments: Versace, Jimmy Choo and Michael Kors. Versace segment include sale of Versace luxury ready-to-wear, accessories and footwear through directly operated Versace boutiques throughout the Americas, certain parts of Europe, Middle East and Africa (EMEA) and certain parts of Asia, as well as through Versace outlet stores and e-commerce sites. Jimmy Choo segment includes Jimmy Choo luxury footwear, handbags and small leather goods and accessories. Michael Kors segment includes the sale of Michael Kors products through four Michael Kors retail store formats: Collection stores, Lifestyle stores (including concessions), outlet stores and e-commerce sites.","#### 📌 **CAPRI HOLDINGS**
- Capri Holdings Limited is a holding company, which owns brands that are designers, marketers, distributors and retailers of womens and mens accessories, footwear and ready-to-wear bearing the Versace, Jimmy Choo and Michael Kors tradenames and related trademarks and logos
- The Company operates in three segments: Versace, Jimmy Choo and Michael Kors
- Versace segment include sale of Versace luxury ready-to-wear, accessories and footwear through directly operated Versace boutiques throughout the Americas, certain parts of Europe, Middle East and Africa (EMEA) and certain parts of Asia, as well as through Versace outlet stores and e-commerce sites
- Jimmy Choo segment includes Jimmy Choo luxury footwear, handbags and small leather goods and accessories
- Michael Kors segment includes the sale of Michael Kors products through four Michael Kors retail store formats: Collection stores, Lifestyle stores (including concessions), outlet stores and e-commerce sites"
CLEARCURE ,Software & IT Services,3279421972.0,YOU,"Clear Secure, Inc. is a secure identity company. Its secure identity platform is a multi-layered infrastructure consisting of both its front-end, including enrollment, verification and linking and its robust, secure, and scalable backend. It confirms identity on an opt-in basis using document authentication, biometric capture technology, liveness detection for anti-spoofing technologies, biometric matching, and other proprietary technologies to link an individuals identity with their biometrics. It offers CLEAR Plus, TSA PreCheck Enrollment Provided by CLEAR, CLEAR app, CLEAR Mobile, CLEAR Plus Members, and CLEAR1. CLEAR Plus is its consumer aviation subscription service, which enables access to predictable and fast experiences through dedicated entry lanes in airport security checkpoints across the nation as well as access to its broader network. CLEAR app offers consumer products, including Home to Gate, a feature to help travelers plan their trip to the airport.","#### 📌 **CLEARCURE **
- Clear Secure, Inc
- is a secure identity company
- Its secure identity platform is a multi-layered infrastructure consisting of both its front-end, including enrollment, verification and linking and its robust, secure, and scalable backend
- It confirms identity on an opt-in basis using document authentication, biometric capture technology, liveness detection for anti-spoofing technologies, biometric matching, and other proprietary technologies to link an individuals identity with their biometrics
- It offers CLEAR Plus, TSA PreCheck Enrollment Provided by CLEAR, CLEAR app, CLEAR Mobile, CLEAR Plus Members, and CLEAR1
- CLEAR Plus is its consumer aviation subscription service, which enables access to predictable and fast experiences through dedicated entry lanes in airport security checkpoints across the nation as well as access to its broader network
- CLEAR app offers consumer products, including Home to Gate, a feature to help travelers plan their trip to the airport"
COMPASS,Software & IT Services,3949557063.0,COMP,"Compass, Inc. provides an end-to-end platform that empowers its residential real estate agents to deliver service to seller and buyer clients. Its platform includes an integrated suite of cloud-based software for customer relationship management, marketing, client service, brokerage services and other critical functionalities, all custom-built for the real estate industry. Its platform also uses proprietary data, analytics, artificial intelligence, and machine learning to simplify the workflows of agents and deliver recommendations and outcomes for both agents and their clients. It also provides integrated services, such as title and escrow and mortgage, both of which are available on its platform. Its Glide tools, which include completion of various real estate forms and offer preparation and eSignature and collaboration capabilities, are offered to non-Compass agents and their clients. Business Tracker provides agents with a centralized view of their entire business.","#### 📌 **COMPASS**
- Compass, Inc
- provides an end-to-end platform that empowers its residential real estate agents to deliver service to seller and buyer clients
- Its platform includes an integrated suite of cloud-based software for customer relationship management, marketing, client service, brokerage services and other critical functionalities, all custom-built for the real estate industry
- Its platform also uses proprietary data, analytics, artificial intelligence, and machine learning to simplify the workflows of agents and deliver recommendations and outcomes for both agents and their clients
- It also provides integrated services, such as title and escrow and mortgage, both of which are available on its platform
- Its Glide tools, which include completion of various real estate forms and offer preparation and eSignature and collaboration capabilities, are offered to non-Compass agents and their clients
- Business Tracker provides agents with a centralized view of their entire business"
DECKERS OUTDOOR,Textiles & Apparel,16107740000.0,DECK,"Deckers Outdoor Corporation designs, markets, and distributes footwear, apparel, and accessories developed for both everyday casual lifestyle use and high-performance activities. Its segments include UGG brand, HOKA brand, Teva brand, and Other brands, as well as Direct-to-Consumer (DTC). The UGG brand segment provides premium footwear, apparel and accessories with expanded product offerings. The HOKA brand segments products include running, trail, hiking, fitness and lifestyle footwear offerings, as well as select apparel and accessories. The Teva brand segment includes a variety of footwear options, from classic sandals and shoes to boots, all crafted for the demands of the outdoors. Its Other brands segment consists primarily of the Koolaburra brand, as well as the AHNU brand. The Koolaburra brand is a casual footwear fashion line that uses plush materials. The DTC segment encompasses all of its brands and consists of its e-commerce Websites and retail stores.","#### 📌 **DECKERS OUTDOOR**
- Deckers Outdoor Corporation designs, markets, and distributes footwear, apparel, and accessories developed for both everyday casual lifestyle use and high-performance activities
- Its segments include UGG brand, HOKA brand, Teva brand, and Other brands, as well as Direct-to-Consumer (DTC)
- The UGG brand segment provides premium footwear, apparel and accessories with expanded product offerings
- The HOKA brand segments products include running, trail, hiking, fitness and lifestyle footwear offerings, as well as select apparel and accessories
- The Teva brand segment includes a variety of footwear options, from classic sandals and shoes to boots, all crafted for the demands of the outdoors
- Its Other brands segment consists primarily of the Koolaburra brand, as well as the AHNU brand
- The Koolaburra brand is a casual footwear fashion line that uses plush materials
- The DTC segment encompasses all of its brands and consists of its e-commerce Websites and retail stores"
DOLLAR TREE,Diversified Retail,14991285100.0,DLTR,"Dollar Tree, Inc. is an operator of retail discount stores operating under the brand names of Dollar Tree and Dollar Tree Canada. The Company operates approximately 8,628 stores across 48 states and the District of Columbia and operates 253 stores across five Canadian provinces. The Dollar Tree segment operates a discount variety of stores offering merchandise at the opening price point. The Dollar Tree segment includes its operations under the Dollar Tree and Dollar Tree Canada brands, over 15 distribution centers in the United States and two distribution centers in Canada. Its Dollar Tree Canada stores carry a range of products such as kitchen and dining, cleaning supplies, food and beverages, health and beauty, toys, party supplies, stationery, craft supplies, seasonal decor, and others. It also offers customers same-day local delivery. The Company also offers Dollar Tree Gift Cards and can be purchased in stores and online and redeemed in any one of its store locations.","#### 📌 **DOLLAR TREE**
- Dollar Tree, Inc
- is an operator of retail discount stores operating under the brand names of Dollar Tree and Dollar Tree Canada
- The Company operates approximately 8,628 stores across 48 states and the District of Columbia and operates 253 stores across five Canadian provinces
- The Dollar Tree segment operates a discount variety of stores offering merchandise at the opening price point
- The Dollar Tree segment includes its operations under the Dollar Tree and Dollar Tree Canada brands, over 15 distribution centers in the United States and two distribution centers in Canada
- Its Dollar Tree Canada stores carry a range of products such as kitchen and dining, cleaning supplies, food and beverages, health and beauty, toys, party supplies, stationery, craft supplies, seasonal decor, and others
- It also offers customers same-day local delivery
- The Company also offers Dollar Tree Gift Cards and can be purchased in stores and online and redeemed in any one of its store locations"
DOORDASH,Software & IT Services,69630928575.0,DASH,"DoorDash, Inc. is engaged in providing services that reduce friction in local commerce and help merchants connect with consumers in their communities. The Company's primary offerings include the DoorDash Marketplace and the Wolt Marketplace (together, the Marketplaces), and its Commerce Platform. Its Marketplaces operate in over 30 countries across the globe and provide an integrated suite of services that help merchants establish an online presence, connect with consumers in their communities, and solve mission-critical challenges, such as customer acquisition, demand generation, order fulfillment, merchandising, payment processing, and customer support. It also offers advertising as a value-added service through its Marketplaces to help merchants and consumer packaged goods companies increase consumer engagement. It also offers consumer membership programs, such as DashPass and Wolt+. Its white-label delivery fulfillment services include DoorDash Drive On-Demand and Wolt Drive.","#### 📌 **DOORDASH**
- DoorDash, Inc
- is engaged in providing services that reduce friction in local commerce and help merchants connect with consumers in their communities
- The Company's primary offerings include the DoorDash Marketplace and the Wolt Marketplace (together, the Marketplaces), and its Commerce Platform
- Its Marketplaces operate in over 30 countries across the globe and provide an integrated suite of services that help merchants establish an online presence, connect with consumers in their communities, and solve mission-critical challenges, such as customer acquisition, demand generation, order fulfillment, merchandising, payment processing, and customer support
- It also offers advertising as a value-added service through its Marketplaces to help merchants and consumer packaged goods companies increase consumer engagement
- It also offers consumer membership programs, such as DashPass and Wolt+
- Its white-label delivery fulfillment services include DoorDash Drive On-Demand and Wolt Drive"
EQUIFAX,Professional & Commercial Services,25646132850.0,EFX,"Equifax Inc. is a global data, analytics, and technology company. The Company is engaged in helping financial institutions, companies, employers, and government agencies make critical decisions. The Companys Workforce Solutions segment provides services enabling customers to verify income, employment, educational history, criminal justice data, healthcare professional licensure and sanctions of people in the United States. The Companys U.S. Information Solutions (USIS) segment provides consumer and commercial information solutions to businesses in the United States, including online information, decisioning technology solutions, identity management services, analytical services, e-commerce fraud and charge back protection services, portfolio management services, mortgage information and marketing services. The Companys International segment provides products and services similar to those available in the USIS segment but with variations by geographic region.","#### 📌 **EQUIFAX**
- Equifax Inc
- is a global data, analytics, and technology company
- The Company is engaged in helping financial institutions, companies, employers, and government agencies make critical decisions
- The Companys Workforce Solutions segment provides services enabling customers to verify income, employment, educational history, criminal justice data, healthcare professional licensure and sanctions of people in the United States
- The Companys U.S
- Information Solutions (USIS) segment provides consumer and commercial information solutions to businesses in the United States, including online information, decisioning technology solutions, identity management services, analytical services, e-commerce fraud and charge back protection services, portfolio management services, mortgage information and marketing services
- The Companys International segment provides products and services similar to those available in the USIS segment but with variations by geographic region"
FIVE BELOW,Diversified Retail,3069001820.0,FIVE,"Five Below, Inc. is a specialty value retailer offering merchandise targeted at the tween and teen demographics. Its assortment of products, including select brands and licensed merchandise. It is engaged in offering a group of products, including leisure, fashion and home, and snacks and seasonal. Leisure includes items such as sporting goods, games, toys, tech, books, electronic accessories, arts and crafts, and party. Fashion and home include items, such as personal accessories, attitude t-shirts, beauty offerings, home goods and storage options. Snack and seasonal include items, such as seasonal goods, greeting cards, candy and other snacks, and beverages. It also offers its merchandise on the Internet, through its fivebelow.com e-commerce Website, offering home delivery and the option to buy online and pick up in store. It also sells its merchandise through on-demand third-party delivery services to enable its customers to shop online and receive convenient delivery.","#### 📌 **FIVE BELOW**
- Five Below, Inc
- is a specialty value retailer offering merchandise targeted at the tween and teen demographics
- Its assortment of products, including select brands and licensed merchandise
- It is engaged in offering a group of products, including leisure, fashion and home, and snacks and seasonal
- Leisure includes items such as sporting goods, games, toys, tech, books, electronic accessories, arts and crafts, and party
- Fashion and home include items, such as personal accessories, attitude t-shirts, beauty offerings, home goods and storage options
- Snack and seasonal include items, such as seasonal goods, greeting cards, candy and other snacks, and beverages
- It also offers its merchandise on the Internet, through its fivebelow.com e-commerce Website, offering home delivery and the option to buy online and pick up in store
- It also sells its merchandise through on-demand third-party delivery services to enable its customers to shop online and receive convenient delivery"
